chr	start	stop	strand	SRR5720118	SRR5720119	SRR5720120	SRR5720121	SRR5720122	SRR5720123	SRR5720124	SRR5720125	SRR5720126	SRR5720127	SRR5720128	SRR5720129	SRR5720130	SRR5720131	SRR5720132	SRR5720133	SRR5720134	SRR5720135	SRR5720136	SRR5720137	SRR5720138	SRR5720139	SRR5720140	SRR5720141
chr1	6795385	6810678	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
chr1	6795385	6828021	+	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	6795385	6833678	+	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	6802319	6803105	+	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	6802319	6810678	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
chr1	6802319	6833678	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
chr1	6807542	6828021	+	0	0	0	0	2	0	0	0	3	0	0	0	2	0	1	0	1	0	0	0	3	0	0	0
chr1	6807542	6833678	+	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0
chr1	6807542	6842941	+	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr1	6810573	6833678	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr1	6817602	6828021	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
chr1	6817602	6833678	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chr1	6827775	6833678	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr1	6827775	6844371	+	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr1	6833562	6857443	+	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chr1	6844371	6845570	+	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	7120193	7120615	+	0	44	50	19	6	27	31	24	4	13	20	15	19	39	52	0	6	16	19	22	5	31	33	11
chr1	7120193	7147739	+	0	3	0	3	2	2	3	0	0	0	0	2	5	0	2	0	2	0	1	0	0	4	1	0
chr1	7120193	7163371	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr1	8414202	8448132	-	0	4	4	1	1	3	4	0	0	3	2	3	2	7	7	0	0	0	5	4	0	5	0	0
chr1	8414202	8624881	-	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
chr1	8445026	8448132	-	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1
chr1	8445026	8624881	-	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	8445026	8803970	-	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	8554724	8595542	-	0	1	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0	2
chr1	8554724	8624881	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
chr1	8583204	8595542	-	0	2	2	0	0	0	0	0	0	0	3	3	0	2	9	0	1	0	2	0	0	3	0	0
chr1	8583204	8607152	-	0	6	10	3	0	2	5	0	0	7	6	0	0	3	3	0	0	0	0	0	0	7	2	2
chr1	8583204	8624881	-	0	3	0	0	0	0	6	0	0	8	5	1	1	2	2	0	0	0	1	1	0	2	2	0
chr1	8583204	8679130	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
chr1	8583204	8682029	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
chr1	8595411	8607152	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
chr1	8595411	8624881	-	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
chr1	8624778	8682029	-	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
chr1	8782762	8803970	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
chr1	9678271	9693392	-	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr1	9827012	9865348	+	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr1	9985591	10003453	-	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	10027102	10032424	-	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	10027102	10035163	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr1	10034007	10035163	-	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0
chr1	10045075	10047526	+	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr1	10045184	10047421	+	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	10058719	10066820	+	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	10064332	10066820	+	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	10064332	10096013	+	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	10066425	10113022	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr1	10074859	10082346	+	0	0	0	3	0	0	0	0	0	0	0	1	3	0	1	0	1	0	0	0	3	0	0	2
chr1	10074859	10083558	+	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	10074859	10085952	+	0	0	0	12	0	0	0	0	2	0	0	6	2	1	0	0	0	0	0	6	1	0	0	6
chr1	10077171	10085952	+	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr1	10082252	10090317	+	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	10082252	10096013	+	0	0	0	3	0	1	0	0	1	0	0	5	1	0	0	0	0	2	0	0	0	0	0	0
chr1	10088050	10090317	+	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	10088050	10096013	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr1	10088050	10104364	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
chr1	10088050	10112542	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
chr1	10108368	10116731	+	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	10151800	10181041	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chr1	10154280	10158060	-	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr1	10157899	10163787	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
chr1	10159567	10160028	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
chr1	10160700	10172984	-	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	10160700	10174195	-	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	10163696	10172984	-	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	10163696	10199904	-	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	10172833	10174195	-	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
chr1	10172833	10179977	-	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	10172833	10204909	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr1	10172833	10216559	-	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0
chr1	10179825	10189678	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr1	10188756	10213223	-	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr1	10198842	10214271	-	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	10199728	10215993	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
chr1	10209424	10216559	-	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	10214271	10215836	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr1	10329472	10337469	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr1	10477024	10484063	-	0	2	0	7	0	0	0	0	0	0	0	11	0	1	0	0	0	0	0	0	0	0	1	5
chr1	10477024	10488949	-	0	2	0	28	0	1	0	0	0	1	0	23	0	0	0	8	0	0	0	22	0	0	1	10
chr1	11061325	11068115	+	0	0	5	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
chr1	11061325	11080124	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
chr1	11061325	11101167	+	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	11061325	11112843	+	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
chr1	11068010	11112843	+	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	11089716	11101167	+	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	11089716	11112843	+	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	11107602	11162401	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr1	11107602	11170791	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr1	11107602	11208655	+	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
chr1	11110281	11123863	+	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	11110281	11156358	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
chr1	11123120	11142797	+	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr1	11123120	11170791	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
chr1	11132337	11142797	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
chr1	11132337	11156358	+	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	11132337	11170791	+	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
chr1	11139955	11142797	+	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	11139955	11156358	+	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	11139955	11162401	+	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr1	11139955	11170791	+	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	11169852	11170791	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
chr1	11169852	11208655	+	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr1	11169852	11231796	+	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	11169852	11266159	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
chr1	11181854	11186765	+	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chr1	11181854	11208655	+	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0
chr1	11181854	11231796	+	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr1	11208511	11266159	+	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	11265678	11266159	+	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	11511917	11518709	+	0	1	1	0	0	0	0	12	0	1	0	0	0	2	0	0	0	0	3	1	1	0	0	0
chr1	11511917	11545282	+	0	0	3	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr1	11511917	11596317	+	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
chr1	11545153	11596317	+	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr1	11588373	11596317	+	0	0	0	3	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	2	3	0	0
chr1	11747964	11798566	+	0	1	1	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0
chr1	11747964	11829891	+	0	0	4	3	0	3	6	0	0	8	2	3	0	1	6	0	0	0	3	2	0	2	2	1
chr1	11747964	11951056	+	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	12805179	12822099	+	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	12921037	12944112	-	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	13156369	13167106	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
chr1	13160160	13167106	-	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
chr1	13184174	13186910	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr1	13186732	13286025	-	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr1	13221306	13224713	-	0	1	4	1	3	3	0	0	3	2	2	6	6	3	2	0	1	0	0	0	6	2	6	3
chr1	13221306	13286025	-	0	19	20	0	13	13	14	0	23	15	22	15	42	24	35	0	18	23	9	20	29	48	20	6
chr1	13224608	13286025	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chr1	13571802	13576452	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr1	13571802	13578158	-	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	13638230	13650884	-	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0
chr1	14208894	14231552	-	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	14208894	14253102	-	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
chr1	14208894	14283198	-	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	14229492	14231552	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr1	14229492	14253102	-	0	0	0	2	0	0	1	0	0	0	0	0	0	2	1	0	0	1	0	2	0	0	0	0
chr1	14252427	14253102	-	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0
chr1	14252427	14283198	-	0	1	0	2	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0
chr1	14270704	14283198	-	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
chr1	15813040	15838288	+	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	15815885	15838288	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr1	15818933	15838288	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr1	16128164	16129341	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
chr1	16345703	16463194	-	0	0	0	1	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0
chr1	16345703	16486150	-	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	16345703	16509408	-	0	7	5	2	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	1	3	2	7	0
chr1	16366078	16374811	-	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	16366078	16440458	-	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	16366078	16463194	-	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	16366078	16486150	-	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr1	16369754	16486150	-	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	16369754	16509408	-	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chr1	16374673	16463194	-	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	16389820	16394210	-	0	0	6	3	4	2	0	0	4	1	0	0	6	3	5	0	7	0	0	0	2	0	3	0
chr1	16389820	16440458	-	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	2	0	2	0	1	0	0	0
chr1	16389820	16463194	-	0	0	2	0	0	0	2	0	1	0	0	0	1	0	0	11	0	0	1	0	0	0	0	0
chr1	16389820	16486150	-	0	1	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	1	2	2	1
chr1	16389820	16509408	-	0	0	0	0	0	1	0	0	0	0	2	0	0	5	5	0	0	0	0	0	0	0	2	0
chr1	16392516	16440458	-	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	16440322	16463194	-	0	0	0	1	0	1	0	0	0	0	0	0	3	2	3	0	0	0	0	3	1	1	4	0
chr1	16440322	16486150	-	0	7	1	1	3	1	1	0	2	0	0	1	1	1	0	0	0	4	2	1	1	0	1	3
chr1	16440322	16509408	-	0	49	12	28	7	23	18	0	18	11	14	18	27	38	52	0	17	14	11	21	19	51	22	16
chr1	16463034	16463194	-	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr1	16463034	16486150	-	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	16463034	16509408	-	0	2	0	0	0	0	0	0	0	1	3	0	0	0	9	0	0	0	0	0	0	0	0	3
chr1	16486019	16509408	-	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chr1	16581926	16585352	-	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr1	16581926	16585431	-	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
chr1	16581926	16602353	-	0	5	0	0	4	6	0	0	0	6	0	0	13	9	12	0	9	2	0	7	0	0	3	5
chr1	16585275	16602353	-	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	2	0	1	0	0
chr1	17003890	17004534	-	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
chr1	17016038	17092057	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chr1	17091297	17092057	-	0	0	0	0	0	1	0	0	4	0	1	0	3	0	3	0	2	0	0	0	0	2	1	0
chr1	17157134	17158401	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr1	17160038	17161125	+	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	17745353	17756333	+	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	19118829	19148417	+	0	1	0	2	0	1	0	0	0	0	0	2	3	0	0	0	0	0	0	2	0	1	0	2
chr1	20955334	20979557	+	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	21225557	21226679	+	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr1	21404931	21457624	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
chr1	21424048	21469564	-	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0
chr1	21424048	21479469	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
chr1	21424048	21487333	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1
chr1	21424048	21593614	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr1	21457403	21469564	-	0	3	0	2	0	4	0	0	0	4	2	0	0	4	7	0	0	6	0	0	0	2	0	0
chr1	21457403	21487333	-	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	21457403	21535187	-	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
chr1	21457403	21593614	-	0	2	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0
chr1	21469469	21487333	-	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chr1	21469469	21593614	-	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	21505299	21593614	-	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	21535060	21593614	-	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0
