miRNA	SRR5144155	SRR5144156	SRR5144157	SRR5144158	SRR5144159	SRR5144160	SRR5144161	SRR5144162	SRR5144163	SRR5144164	SRR5144165	SRR5144166	SRR5144167	SRR5144168	SRR5144169	SRR5144170	SRR5144171	SRR5144172	SRR5144173	SRR5144174	SRR5144175	SRR5144176	SRR5144177
mmu-miR-151-3p	12482	17247	16430	12141	11512	16745	13425	22789	18684	13218	15217	7349	23857	24934	22442	32168	26483	27294	15485	11876	16040	14122	5041
mmu-miR-151-5p	8004	10316	9584	8179	6285	10179	9856	12910	10756	8350	10013	4964	14643	16373	15576	20426	18996	14274	7227	5400	8129	8482	2770
mmu-miR-152-3p	150	166	137	122	85	181	142	145	108	79	97	50	200	224	271	307	185	168	146	70	100	92	42
mmu-miR-152-5p	112	125	140	99	79	134	74	83	49	70	58	43	174	263	258	331	191	123	85	56	79	100	23
mmu-miR-153-3p	3168	3867	3321	2680	2299	3588	7957	13345	5495	7853	10323	1151	6582	12288	9652	14875	12120	5321	5376	3185	4597	5972	1410
mmu-miR-153-5p	119	137	91	97	77	100	333	382	408	236	348	127	435	463	510	613	564	279	152	75	124	191	74
mmu-miR-154-3p	23	26	15	16	11	25	29	27	30	17	27	7	40	38	37	53	27	36	23	13	14	20	6
mmu-miR-154-5p	528	657	694	599	408	616	782	928	802	585	782	388	685	1037	1017	1191	883	695	434	256	358	414	157
mmu-miR-155-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
mmu-miR-155-5p	23	47	26	18	22	26	10	18	13	8	17	5	23	27	30	45	28	32	36	17	19	26	10
mmu-miR-15a-3p	13	14	12	18	5	16	7	9	5	3	7	3	5	17	16	11	9	11	10	6	10	7	1
mmu-miR-15a-5p	3018	4148	3598	2832	2394	3698	1811	2158	1911	1388	1790	785	2269	2886	3131	3743	3435	4887	2482	1526	2301	3466	879
mmu-miR-15b-3p	22	24	21	22	8	33	16	21	12	9	15	1	10	16	31	35	18	33	17	5	18	17	10
mmu-miR-15b-5p	171	211	209	141	135	173	77	106	75	101	95	38	100	165	177	219	147	305	162	114	150	221	57
mmu-miR-16-1-3p	56	62	87	51	35	66	26	56	31	28	25	6	29	50	67	72	53	53	47	38	37	50	14
mmu-miR-16-2-3p	9	19	16	4	9	15	6	9	7	3	7	1	6	8	19	16	12	16	12	4	10	16	3
mmu-miR-16-5p	106052	146089	129015	105836	87468	132978	52127	67530	65847	45178	55035	24610	65703	81354	76781	105758	88604	129471	78800	47738	66554	86261	24904
mmu-miR-1668	1	0	0	0	1	1	0	0	0	0	0	0	2	1	0	3	1	1	0	0	0	0	0
mmu-miR-17-3p	18	29	12	21	10	19	22	23	25	13	26	8	47	48	38	80	44	87	44	22	33	50	4
mmu-miR-17-5p	82	115	104	76	56	94	138	186	125	100	134	63	265	292	278	351	262	389	236	128	158	311	70
mmu-miR-181a-1-3p	7513	9961	9488	7313	5961	9252	3965	5483	3994	3514	4022	1925	5964	8241	7969	10791	8488	11957	6323	4581	6742	7342	2629
mmu-miR-181a-2-3p	747	825	876	635	542	897	601	862	626	453	579	364	1192	1457	1171	2331	1918	2370	1341	1035	1468	1247	589
mmu-miR-181a-5p	1987401	2675234	2874947	1692340	1542180	2533473	978397	1366909	840588	919413	1014521	498479	1144517	1521579	1600580	2122166	1723654	3363369	1907932	1319219	1863671	2194326	706919
mmu-miR-181b-1-3p	163	257	184	154	94	181	79	127	64	80	74	35	138	193	183	264	161	240	109	110	143	136	41
mmu-miR-181b-2-3p	1	3	3	0	3	3	4	4	2	1	2	0	3	3	3	6	6	6	4	2	2	4	2
mmu-miR-181b-5p	71689	95419	95156	58446	57019	86771	56132	79921	55154	47137	55930	29162	74727	89465	79044	128080	133539	181180	118200	76762	104010	124817	50549
mmu-miR-181c-3p	3889	5184	5264	3904	3117	4997	2646	3253	2232	2109	2396	1184	3435	4815	4369	6070	4824	5298	2948	2158	3063	3469	1227
mmu-miR-181c-5p	76238	113654	116966	78774	60278	102430	40941	46991	30417	32980	37164	15513	50683	66052	69632	83361	68949	106297	54763	40355	55342	68861	20185
mmu-miR-181d-3p	4	0	2	3	0	2	1	1	0	1	1	0	3	2	2	1	4	5	3	1	2	2	1
mmu-miR-181d-5p	6300	7906	7856	5962	5126	7338	5236	6530	5638	4553	4933	2629	6579	8154	6639	11287	9815	12270	7841	5069	7236	7935	2943
mmu-miR-182-3p	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	66	54	38	46	66	18
mmu-miR-182-5p	5957	8944	6606	3448	5981	7769	35409	23891	20865	528	2078	721	2313	1624	1840	2727	1257	2042327	1065696	729988	1380983	1251788	297897
mmu-miR-183-3p	4	6	5	1	5	4	27	21	25	0	3	1	4	0	5	3	0	2150	1036	667	954	1615	273
mmu-miR-183-5p	359	610	478	260	284	478	3462	2564	2951	50	244	85	200	139	219	185	97	243815	132535	93424	151376	152463	38018
mmu-miR-1839-3p	147	203	245	178	137	266	338	387	293	198	289	169	205	487	553	573	429	422	172	112	122	217	25
mmu-miR-1839-5p	1305	1488	1381	1033	912	1385	2622	3028	1907	2071	2184	1187	3478	4427	3671	6181	6095	2430	1496	968	1574	1647	585
mmu-miR-184-3p	5	8	17	8	9	6	121	160	63	95	83	45	74	83	64	134	139	274	225	127	196	196	52
mmu-miR-184-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1843a-3p	62	76	63	62	48	77	68	90	61	51	81	27	90	131	121	178	150	77	26	16	33	35	14
mmu-miR-1843a-5p	4188	4620	4242	3709	2909	4637	6475	7779	5851	5518	5549	3158	8604	11180	9339	15879	12540	3617	1884	1375	2309	2320	848
mmu-miR-1843b-3p	235	214	214	161	189	237	192	274	162	186	221	121	571	580	364	931	1029	256	134	92	175	154	70
mmu-miR-1843b-5p	7850	8559	7874	6990	5491	8546	12298	14795	11564	10513	10707	5956	16082	20940	17341	29756	23051	7099	3710	2720	4502	4519	1621
mmu-miR-185-3p	45	50	45	28	19	43	49	87	72	44	60	26	78	104	74	125	129	56	23	20	16	22	7
mmu-miR-185-5p	228	307	310	223	189	272	317	369	217	264	299	89	353	517	527	787	473	280	142	81	164	173	42
mmu-miR-186-3p	19	36	35	22	22	23	29	24	26	16	15	3	56	57	44	74	50	28	22	9	6	19	5
mmu-miR-186-5p	11339	17292	16251	12660	8427	15890	12510	15546	11882	10202	12301	3407	18796	22452	22220	28868	24742	19174	11188	6928	10039	13479	2414
mmu-miR-187-3p	288	368	322	274	251	336	471	760	680	335	604	246	950	1011	832	1406	1408	764	410	217	304	536	197
mmu-miR-187-5p	16	17	16	15	10	10	15	34	27	21	31	10	27	52	52	60	62	43	27	13	23	22	8
mmu-miR-188-3p	9	11	18	6	6	11	8	4	7	6	6	3	8	11	13	18	20	6	8	4	8	7	2
mmu-miR-188-5p	166	255	176	159	141	235	122	97	89	58	107	25	164	223	254	301	195	174	67	45	55	139	32
mmu-miR-1892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1893	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
mmu-miR-1894-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1894-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1895	10	17	11	11	4	13	12	11	10	14	5	3	13	21	21	18	18	26	7	8	8	10	1
mmu-miR-1896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1897-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1897-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-18a-3p	6	11	10	5	2	10	2	4	4	4	9	0	9	7	15	15	12	20	10	7	14	6	5
mmu-miR-18a-5p	12	24	15	13	4	15	18	18	8	13	17	7	25	33	53	49	33	63	49	40	41	56	12
mmu-miR-18b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
mmu-miR-18b-5p	4	3	2	0	2	0	0	1	1	4	0	0	0	0	6	2	1	2	3	0	2	3	1
mmu-miR-1900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-190a-3p	14	16	13	10	9	10	15	13	9	7	14	4	11	21	23	30	20	11	7	3	5	10	1
mmu-miR-190a-5p	195	253	204	187	141	216	220	258	229	147	203	79	303	382	349	567	344	206	107	84	97	160	41
mmu-miR-190b-3p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	0
mmu-miR-190b-5p	7	16	17	6	14	15	10	16	16	8	7	3	14	25	14	23	21	13	12	3	10	14	5
mmu-miR-191-3p	85	102	75	102	62	110	85	123	104	60	81	50	199	182	205	240	210	137	78	37	62	72	24
mmu-miR-191-5p	41068	62064	67295	43540	31966	58937	39494	56607	44035	37212	41098	17155	79317	95341	88386	116976	99485	65235	42869	30660	39453	43034	11733
mmu-miR-1911-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1911-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1912-3p	60	85	0	10	36	26	17	8	14	8	9	12	119	6	211	10	2	1	1	1	3	3	0
mmu-miR-1912-5p	2	4	0	0	2	4	1	2	1	2	0	0	5	1	11	0	0	0	0	0	0	0	0
mmu-miR-192-3p	1	11	8	5	2	9	1	1	2	0	1	2	2	0	3	4	1	0	5	4	0	1	0
mmu-miR-192-5p	28570	41952	44922	27256	22640	41338	6900	9100	6132	5728	6426	3253	12016	17182	15082	21550	16988	11500	7007	5451	7410	7446	2518
mmu-miR-1927	2	1	1	3	3	4	3	1	6	3	5	3	6	6	13	16	7	16	8	4	17	12	6
mmu-miR-1928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1929-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1929-5p	1	2	2	0	0	1	0	2	1	0	1	1	3	3	1	3	4	4	0	3	2	2	1
mmu-miR-1930-3p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
mmu-miR-1930-5p	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	1	2	0	2	1	3	2	1
mmu-miR-1931	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0
mmu-miR-1932	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
mmu-miR-1933-3p	3	4	2	1	7	7	6	7	4	1	9	3	14	11	15	20	19	13	2	4	15	10	0
mmu-miR-1933-5p	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1934-3p	0	2	2	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
mmu-miR-1934-5p	6	12	2	5	6	13	6	8	7	1	4	0	8	10	11	17	7	12	2	4	5	4	2
mmu-miR-1936	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0
mmu-miR-1938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-193a-3p	122	138	80	88	128	157	86	127	34	26	115	10	141	260	233	432	252	43	28	15	12	85	15
mmu-miR-193a-5p	2	4	2	1	1	1	0	0	0	0	2	1	5	6	0	3	2	1	0	2	0	2	0
mmu-miR-193b-3p	175	170	152	147	130	172	325	490	404	341	394	138	122	165	182	263	108	180	82	68	79	108	15
mmu-miR-193b-5p	1	3	7	1	0	3	5	7	4	2	6	1	4	5	2	4	2	5	2	1	4	0	0
mmu-miR-194-1-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
mmu-miR-194-2-3p	11	10	8	11	10	8	6	0	3	2	2	0	3	8	7	10	6	4	2	2	6	7	2
mmu-miR-194-5p	4255	6023	5029	4368	3319	5194	815	1120	1056	533	758	406	1092	1487	1226	1642	1374	1537	938	558	714	1215	366
mmu-miR-1941-3p	0	0	0	0	0	0	2	7	4	0	6	1	0	1	0	0	0	3	2	2	2	2	0
mmu-miR-1941-5p	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0
mmu-miR-1942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1943-3p	0	2	0	3	0	1	1	1	0	0	1	0	0	1	4	1	2	4	0	0	1	1	0
mmu-miR-1943-5p	9	9	19	19	7	12	16	8	7	6	13	3	17	17	27	32	15	29	11	11	18	29	7
mmu-miR-1945	1	1	1	1	1	2	1	3	1	1	1	1	4	0	5	5	5	2	1	0	0	1	0
mmu-miR-1946a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1946b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1947-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-1947-5p	22	24	36	26	18	33	32	46	28	17	21	15	64	62	53	73	76	87	34	31	50	44	16
mmu-miR-1948-3p	10	13	10	17	10	15	6	19	6	10	6	2	23	18	22	34	25	41	23	13	19	32	12
mmu-miR-1948-5p	2	3	1	2	3	3	1	7	3	1	3	0	3	4	3	6	6	8	2	2	4	0	0
mmu-miR-1949	0	1	3	1	0	1	3	2	1	1	0	0	2	1	2	2	0	1	0	0	1	0	1
mmu-miR-1950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
mmu-miR-1951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
mmu-miR-1952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
mmu-miR-1954	1	0	0	1	1	0	0	1	0	1	0	1	0	0	1	3	2	1	1	0	0	1	0
mmu-miR-1955-3p	3	0	0	3	3	6	2	0	1	3	0	1	0	4	1	2	0	0	1	0	2	4	0
mmu-miR-1955-5p	4	5	1	9	2	1	1	2	4	1	3	2	0	0	8	9	9	5	1	2	2	1	0
mmu-miR-1956	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mmu-miR-1958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mmu-miR-195a-3p	616	988	815	612	498	816	71	82	79	52	74	45	176	215	179	291	245	240	129	97	148	144	74
mmu-miR-195a-5p	11979	18102	15220	11788	10110	15012	1178	1284	940	854	1064	473	1674	2358	2466	3542	2147	3817	2321	1283	1741	2625	664
mmu-miR-195b	1	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1960	1	3	2	2	1	1	2	4	1	0	0	1	4	1	4	4	3	2	1	0	2	1	0
mmu-miR-1961	2	2	1	2	2	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	1	0
mmu-miR-1962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1963	2	2	2	1	1	3	0	1	1	1	3	0	0	0	1	0	0	0	0	0	0	0	0
mmu-miR-1964-3p	21	43	30	20	28	38	25	31	20	18	18	15	37	49	30	49	49	55	26	16	32	26	10
mmu-miR-1964-5p	2	0	1	1	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	1	0	0
mmu-miR-1966-3p	9	3	5	3	4	6	3	2	6	5	3	3	6	8	10	19	12	15	5	2	5	7	2
mmu-miR-1966-5p	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	0	1	0	1	0	0
mmu-miR-1967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1968-3p	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0
mmu-miR-1968-5p	6	3	6	3	1	4	12	5	11	5	9	5	9	12	9	13	20	12	12	4	5	13	2
mmu-miR-1969	0	0	0	1	0	1	10	4	8	6	4	1	10	9	5	13	15	3	4	3	2	1	1
mmu-miR-196a-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-196a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-196a-5p	0	4	2	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-196b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-196b-5p	1	1	0	2	3	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0
mmu-miR-1970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1970b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
mmu-miR-1970c-3p	0	4	3	6	5	1	4	3	1	4	4	0	3	3	5	8	4	4	3	1	4	6	0
mmu-miR-1970c-5p	1	1	0	0	0	0	0	2	2	2	1	0	0	0	1	3	3	2	1	0	0	1	1
mmu-miR-1971	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1981-3p	46	64	63	43	41	64	114	173	130	90	124	64	131	147	146	199	165	143	83	62	73	86	38
mmu-miR-1981-5p	61	57	56	53	21	68	177	235	149	113	172	56	150	197	179	271	189	99	69	33	60	67	31
mmu-miR-1982-3p	18	24	17	10	20	18	10	17	10	5	8	6	18	20	15	32	15	22	10	6	3	8	6
mmu-miR-1982-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
mmu-miR-1983	176	241	232	194	174	240	365	448	389	248	379	164	468	771	626	885	540	466	274	185	200	314	86
mmu-miR-199a-3p	1520	1894	1660	1347	1205	2014	1603	1474	1126	1077	1036	776	1753	2224	3115	3512	2402	2959	1700	1726	1821	2325	867
mmu-miR-199a-5p	78	108	86	98	76	134	116	140	72	110	86	68	116	152	262	254	96	193	168	173	138	190	88
mmu-miR-199b-3p	1520	1894	1660	1347	1205	2014	1603	1474	1126	1077	1036	776	1753	2224	3115	3512	2402	2959	1700	1726	1821	2325	867
mmu-miR-199b-5p	12	21	11	14	14	11	7	6	8	8	2	3	13	14	18	21	9	12	3	7	11	6	6
mmu-miR-19a-3p	24	54	36	19	20	29	29	34	16	22	23	6	35	62	60	70	55	71	68	47	54	100	25
mmu-miR-19a-5p	0	0	1	0	0	3	0	0	0	1	1	0	0	0	0	2	3	2	1	1	2	4	0
mmu-miR-19b-1-5p	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	1	1	0	2	1	1	1	0
mmu-miR-19b-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-19b-3p	776	978	834	578	515	762	700	866	529	601	648	210	1095	1532	1436	2158	1370	1950	1598	797	1212	1651	417
mmu-miR-1a-1-5p	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
mmu-miR-1a-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
mmu-miR-1a-3p	76	98	50	56	20	38	28	40	36	34	44	10	40	64	78	102	86	38	30	12	8	18	6
mmu-miR-1b-3p	0	3	1	0	0	3	0	3	0	1	1	0	1	1	2	5	4	1	1	1	0	3	0
mmu-miR-1b-5p	2	1	0	0	0	2	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0
mmu-miR-200a-3p	20	97	12	6	16	15	2450	1616	1271	42	170	45	134	199	256	219	166	124929	74933	40502	65543	90619	21201
mmu-miR-200a-5p	0	6	1	0	2	0	80	56	45	4	6	2	8	9	11	13	15	3282	2146	1140	1660	2315	557
mmu-miR-200b-3p	14	68	16	3	9	7	1542	1212	1130	64	181	47	118	179	208	203	167	85856	47574	27370	48854	60383	11949
mmu-miR-200b-5p	0	2	0	0	0	0	19	21	13	2	2	0	1	0	4	0	1	1247	626	386	645	837	168
mmu-miR-200c-3p	2	11	3	2	0	1	122	124	90	2	12	3	0	4	7	3	2	9322	5381	3060	4639	6752	1300
mmu-miR-200c-5p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	20	8	10	5	8	3
mmu-miR-201-3p	1	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
mmu-miR-201-5p	7	10	3	6	8	2	2	0	4	2	2	1	0	2	4	4	1	5	1	3	3	2	0
mmu-miR-202-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-202-5p	2	4	2	5	3	0	2	2	3	3	2	0	5	8	7	3	1	0	2	1	0	0	0
mmu-miR-203-3p	210	223	266	190	168	379	523	701	520	610	530	205	395	564	632	867	534	1952	1398	661	1156	1432	277
mmu-miR-203-5p	1	2	0	1	0	3	5	6	0	1	0	2	3	0	9	4	6	15	6	5	5	8	1
mmu-miR-203b-3p	0	0	0	0	0	1	2	4	0	3	1	2	2	3	1	3	2	7	5	1	4	0	3
mmu-miR-203b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-204-3p	39	68	30	31	38	48	15	10	4	4	3	3	28	24	55	30	16	23	14	4	5	16	2
mmu-miR-204-5p	81822	126760	81222	62994	64863	88203	12871	15035	7946	8491	9127	6060	58154	27463	89178	39895	31153	45095	20704	12837	20725	26532	7538
mmu-miR-205-3p	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
mmu-miR-205-5p	7	18	6	4	3	13	31	40	8	14	20	10	13	8	19	20	4	120	81	57	48	104	20
mmu-miR-206-3p	207	349	378	237	176	322	0	2	2	3	3	0	3	2	2	4	1	1	0	0	0	1	0
mmu-miR-206-5p	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-208a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-208a-5p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-208b-3p	4	5	2	2	6	3	7	12	13	9	11	2	19	17	21	24	14	8	11	4	9	10	4
mmu-miR-208b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-20a-3p	4	6	2	1	1	4	4	5	2	0	2	1	7	4	5	6	4	6	9	2	4	7	1
mmu-miR-20a-5p	61	99	87	76	45	85	92	119	93	77	88	33	206	207	222	303	204	266	189	93	133	204	38
mmu-miR-20b-3p	0	1	0	0	1	0	0	0	0	0	1	0	1	1	2	2	0	0	0	0	0	1	0
mmu-miR-20b-5p	8	6	5	3	1	2	9	2	2	0	1	1	9	2	7	5	1	5	3	2	3	2	2
mmu-miR-210-3p	383	510	437	297	299	431	418	643	456	297	479	247	540	694	751	866	622	318	179	106	168	230	71
mmu-miR-210-5p	29	30	33	22	29	29	35	67	27	19	49	32	43	37	54	55	74	20	18	15	12	12	6
mmu-miR-211-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-211-5p	316	422	371	304	280	371	37	73	40	31	56	28	163	82	208	161	88	240	102	104	190	154	35
mmu-miR-212-3p	522	582	507	357	358	490	3185	4057	3167	2029	3071	1765	2569	2967	2621	3376	3573	3242	1962	1467	1498	2043	954
mmu-miR-212-5p	247	245	249	253	159	245	1290	1690	1181	1037	1186	647	1086	1391	1027	1714	1226	1091	735	494	615	790	245
mmu-miR-2136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-2137	0	5	0	0	3	2	0	1	0	0	0	0	2	6	0	2	1	2	2	0	0	2	3
mmu-miR-2139	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-214-3p	3	10	8	9	13	10	11	5	1	5	6	5	12	21	12	28	10	31	12	18	10	21	6
mmu-miR-214-5p	3	3	2	2	4	4	4	1	1	0	0	2	1	6	8	8	2	8	8	8	5	5	0
mmu-miR-215-3p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
mmu-miR-215-5p	30	25	29	35	20	25	20	22	13	17	17	10	14	21	35	33	29	41	24	18	17	14	7
mmu-miR-216a-3p	1	7	6	2	2	4	3	3	1	0	3	1	1	0	0	1	0	0	0	0	0	0	0
mmu-miR-216a-5p	146	190	173	107	125	176	11	11	10	2	11	5	3	4	1	9	2	3	3	0	4	1	1
mmu-miR-216b-3p	3	12	8	2	4	10	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0
mmu-miR-216b-5p	19	27	19	14	20	29	2	2	4	2	1	0	0	0	1	3	1	2	2	0	1	1	0
mmu-miR-216c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-216c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-217-3p	6	12	5	5	7	11	1	3	3	0	0	2	0	0	2	1	0	0	0	0	0	0	0
mmu-miR-217-5p	716	1083	980	506	622	1070	40	27	42	10	23	16	7	8	12	22	5	8	8	4	7	9	4
mmu-miR-218-1-3p	9	7	3	4	4	4	59	60	47	40	52	30	52	72	68	111	68	24	8	9	17	15	4
mmu-miR-218-2-3p	37	44	33	30	37	48	30	43	33	31	36	21	90	141	117	162	118	28	14	11	12	13	8
mmu-miR-218-5p	15206	20276	22745	15412	12106	19858	23832	29810	19336	21101	21403	11310	51755	67749	66208	80470	68577	8985	5846	3876	5779	6191	1900
mmu-miR-2183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-219a-1-3p	25	41	38	36	30	40	12	21	12	15	21	13	48	32	34	41	51	29	25	18	16	26	8
